WORD,HINT
BEERS,Fermented barley beverages
KHOYA,Milk solids used in sweets
JEERA,Cumin seed used whole or ground
CHAAT,Savory snack topped with chutneys
WINES,Fermented grape beverages
GOURD,Bottle or ridge vegetable
BESAN,Gram flour used for batters
PASTA,Wheat noodles served with sauce
COCOA,Hot beverage from cacao
RAITA,Yogurt side with herbs and spice
RASAM,Spiced tamarind soup
SAUNF,Fennel seeds used as digestif
METHI,Fenugreek leaves used in cooking
DOSAS,Fermented rice crepes with chutney
RAJMA,Kidney bean curry
PAPRI,Fried wafers used in chaat
SALAD,Mixed greens with dressing
NIMKI,Crispy savory flour snack
LEMON,Citrus used for tang
ACHAR,Spicy Indian pickle
COLAS,Sweet fizzy drinks
GUAVA,Tropical fruit with sweet flesh
GRAPE,Fruit eaten fresh or dried
SARSO,Mustard seeds used in pickling
ROTIS,Whole wheat flatbreads served daily
PULAO,Rice cooked with spices and vegetables
AVIAL,Mixed vegetable curry with coconut
TINDA,Small squash used in curries
MATAR,Green peas used in curries
CHOLE,Spiced chickpea curry
KADHI,Yogurt gram-flour curry
CHAAS,Buttermilk drink spiced with cumin
HALWA,Sweet semolina or carrot dessert
PAPAD,Crisp wafer from lentil flour
PEARS,Juicy fruit used in sweets
CHILI,Ground red pepper for heat
LATTE,Espresso drink with milk
CHANA,Chickpeas used whole or split
LADOO,Round sweet made with flour or nuts
LASSI,"Yogurt-based drink, sweet or salted"
MIRCH,Chili pepper in Indian cooking
APPLE,Common fruit for desserts
PIZZA,Flatbread with cheese and toppings
TIKKA,Marinated pieces cooked in a tandoor
KORMA,Mild curry thickened with nuts
MANGO,Tropical fruit eaten fresh or pickled
AKURI,Spiced scrambled eggs (Parsi)
MASUR,Red lentil used in dal
JUICE,Fruit or vegetable extract drink
CURRY,Spiced gravy served with rice or bread
MOMOS,Steamed dumplings with fillings
LADDU,Round sweet of gram flour and ghee
SAAGS,Leafy greens curry varieties
HALDI,Ground turmeric used as spice
MOONG,Green gram used widely
ONION,Bulb base for many curries
MALAI,Cream skimmed from milk
APPAM,Soft rice pancake from the south
POORI,Deep-fried puffed wheat bread
OKRAS,Green pods cooked in stir-fries
KOFTA,Fried dumplings in gravy
RABRI,Thickened milk dessert
SODAS,Carbonated drinks served chilled
BARFI,Dense milk fudge cut into diamonds
ROGAN,Oil-based Kashmiri style gravy
BREAD,Baked staple served with butter
KHEER,Rice pudding flavored with cardamom
CIDER,Fermented apple beverage
TADKA,Hot oil tempering of spices
JAMUN,Purple berry eaten with salt
NIMBU,Lemon used for drinks and pickles
PEDAS,Milk fudge discs flavored with cardamom
